context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
0,6,31,6,b=6 d=6 tt=31,62.73333333333333,4.711,0.7186,61.1,4.643,0.7218666666666667,0.9739666666666666
0,6,82,16,b=16 d=6 tt=82,64.1,5.204,0.7272666666666666,61.70000000000001,5.189,0.7341666666666665,0.9626
0,6,123,24,b=24 d=6 tt=123,62.6,5.355,0.7305666666666667,60.73333333333333,5.361,0.7366,0.9701333333333334
0,16,82,6,b=6 d=16 tt=82,48.4,5.212,0.55,48.4,5.215,0.5496666666666666,1.0
0,16,219,16,b=16 d=16 tt=219,45.06666666666666,5.971,0.5999,44.166666666666664,5.954,0.6023,0.98
0,16,329,24,b=24 d=16 tt=329,37.766666666666666,6.196000000000001,0.6603333333333333,38.1,6.192,0.6536,1.0088
0,24,123,6,b=6 d=24 tt=123,40.4,5.385000000000001,0.4705333333333333,40.63333333333333,5.409,0.4694333333333333,1.0058
0,24,329,16,b=16 d=24 tt=329,32.266666666666666,6.025000000000001,0.5874333333333334,32.666666666666664,6.087,0.5828000000000001,1.0124
0,24,494,24,b=24 d=24 tt=494,,,,,,,

context_length,depth,total_token,top_k,config_label,mode,model,eagle_model,prompt,num_tokens,num_steps,wall_ms,tok_per_sec,mean_accepted_per_step,acceptance_rate,mean_verify_ms,verify_fraction
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",263,69,5227.966666666666,50.29999999999999,3.812,0.123,55.145,0.7277999999999999
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,60,4536.333333333333,56.9,4.3,0.1387,54.952666666666666,0.7268
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,261,64,4839.766666666666,53.93333333333334,4.078,0.1316,55.00366666666667,0.7273333333333333
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",258,65,4904.366666666667,52.6,3.969,0.128,54.874,0.7272666666666666
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,20,1544.7333333333333,51.76666666666667,4.0,0.129,54.223333333333336,0.7020333333333334
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,264,50,3787.0,69.7,5.28,0.1703,54.817,0.7237333333333332
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,25,1927.8999999999999,80.9,6.239999999999999,0.2013,54.72366666666667,0.7096
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,257,60,4528.0,56.79999999999999,4.283,0.1382,54.79566666666667,0.7260666666666666
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,260,50,3795.7000000000003,68.5,5.2,0.1677,54.96866666666667,0.7241
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,49,3716.8333333333335,69.4,5.265,0.16980000000000003,54.897333333333336,0.7237
