config_label,mode,model,eagle_model,prompt,context_length_mean,context_length_std,context_length_cv_pct,depth_mean,depth_std,depth_cv_pct,total_token_mean,total_token_std,total_token_cv_pct,top_k_mean,top_k_std,top_k_cv_pct,num_tokens_mean,num_tokens_std,num_tokens_cv_pct,num_steps_mean,num_steps_std,num_steps_cv_pct,wall_ms_mean,wall_ms_std,wall_ms_cv_pct,tok_per_sec_mean,tok_per_sec_std,tok_per_sec_cv_pct,mean_accepted_per_step_mean,mean_accepted_per_step_std,mean_accepted_per_step_cv_pct,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_cv_pct,mean_verify_ms_mean,mean_verify_ms_std,mean_verify_ms_cv_pct,verify_fraction_mean,verify_fraction_std,verify_fraction_cv_pct,n_runs
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,156,0,0.00,25,0,0.00,1943.77,0.723418,0.04,80.2667,0.057735,0.07,6.24,1.08779e-15,0.00,0.2013,0,0.00,55.4317,0.0273191,0.05,0.712933,0.00011547,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,259,0,0.00,50,0,0.00,3829.53,1.00167,0.03,67.6333,0.057735,0.09,5.18,0,0.00,0.1671,0,0.00,55.7017,0.00635085,0.01,0.727233,0.000152753,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,261,0,0.00,64,0,0.00,4886.77,3.36502,0.07,53.4,0,0.00,4.078,0,0.00,0.1316,0,0.00,55.7863,0.0355575,0.06,0.7306,0,0.00,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,80,0,0.00,20,0,0.00,1568.17,0.602771,0.04,51,0,0.00,4,0,0.00,0.129,0,0.00,55.179,0.0137477,0.02,0.703733,0.00011547,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,258,0,0.00,60,0,0.00,4577.27,0.85049,0.02,56.4,0,0.00,4.3,0,0.00,0.1387,0,0.00,55.6847,0.00757188,0.01,0.729933,0.000152753,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,258,0,0.00,48,0,0.00,3674.43,0.896289,0.02,70.2,0,0.00,5.375,0,0.00,0.1734,0,0.00,55.627,0.0252389,0.05,0.726667,0.000152753,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,264,0,0.00,50,0,0.00,3822.8,2.3388,0.06,69.0667,0.057735,0.08,5.28,0,0.00,0.1703,0,0.00,55.593,0.0555608,0.10,0.7271,0.0003,0.04,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,262,0,0.00,74,0,0.00,5629.47,1.60416,0.03,46.5333,0.057735,0.12,3.541,0,0.00,0.1142,1.69967e-17,0.00,55.6957,0.0190875,0.03,0.732133,5.7735e-05,0.01,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,263,0,0.00,69,0,0.00,5276.6,4.3589,0.08,49.8667,0.057735,0.12,3.812,0,0.00,0.123,0,0.00,55.8927,0.0457967,0.08,0.7309,0.0001,0.01,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,260,0,0.00,49,0,0.00,3754.7,0.7,0.02,69.2333,0.057735,0.08,5.306,0,0.00,0.1712,0,0.00,55.699,0.01249,0.02,0.726867,0.00011547,0.02,3
