context_length,depth,total_token,top_k,config_label,mode,model,eagle_model,prompt,num_tokens,num_steps,wall_ms,tok_per_sec,mean_accepted_per_step,acceptance_rate,mean_verify_ms,verify_fraction
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,186,16387.2,15.666666666666666,1.382,0.0112,52.501,0.5959333333333333
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,182,16278.9,15.800000000000002,1.412,0.011500000000000002,52.71933333333333,0.5894333333333334
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,91,66,6359.633333333334,14.299999999999999,1.3790000000000002,0.0112,52.55466666666666,0.5454
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",258,168,15010.133333333333,17.2,1.5360000000000003,0.012500000000000002,52.945,0.5926
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,175,15522.533333333335,16.633333333333336,1.474,0.012000000000000002,52.74066666666666,0.5945999999999999
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,186,15657.733333333332,16.433333333333334,1.382,0.0112,48.474,0.5758333333333333
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,182,15656.533333333333,16.433333333333334,1.412,0.011500000000000002,49.304,0.5731
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,91,66,6046.233333333334,15.033333333333333,1.3790000000000002,0.0112,47.79833333333334,0.5217666666666667
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",258,168,14457.166666666666,17.833333333333332,1.5360000000000003,0.012500000000000002,49.21866666666667,0.5719333333333333
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,175,14806.433333333334,17.433333333333334,1.474,0.012000000000000002,48.65,0.5750333333333333
4096,12,165,16,b=16 d=12 tt=165,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,184,16590.63333333333,15.466666666666667,1.397,0.0085,53.56866666666667,0.5941
4096,12,165,16,b=16 d=12 tt=165,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,178,16278.5,15.799999999999999,1.444,0.0088,53.74466666666667,0.5876666666666667
4096,12,165,16,b=16 d=12 tt=165,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,86,60,5935.666666666667,14.5,1.433,0.0087,53.202999999999996,0.5378
4096,12,165,16,b=16 d=12 tt=165,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",259,166,15682.566666666666,16.5,1.5599999999999998,0.0095,56.99033333333333,0.6032333333333333
4096,12,165,16,b=16 d=12 tt=165,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,170,15253.766666666668,16.933333333333334,1.518,0.0092,53.189,0.5928
4096,12,165,16,b=16 d=12 tt=165,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,184,17736.233333333334,14.5,1.397,0.0085,59.690666666666665,0.6192666666666667
4096,12,165,16,b=16 d=12 tt=165,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,177,17358.166666666668,14.800000000000002,1.452,0.0088,60.653333333333336,0.6185
4096,12,165,16,b=16 d=12 tt=165,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,91,63,6579.466666666667,13.800000000000002,1.444,0.0088,59.11866666666666,0.5661
4096,12,165,16,b=16 d=12 tt=165,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",259,167,16162.199999999999,16.033333333333335,1.551,0.0094,60.044000000000004,0.6204333333333333
4096,12,165,16,b=16 d=12 tt=165,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,170,16455.600000000002,15.666666666666666,1.518,0.0092,59.91833333333333,0.619
4096,12,206,20,b=20 d=12 tt=206,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,183,16805.7,15.299999999999999,1.404,0.0068,54.71966666666666,0.5958666666666667
