config_label,mode,model,eagle_model,prompt,context_length_mean,context_length_std,context_length_cv_pct,depth_mean,depth_std,depth_cv_pct,total_token_mean,total_token_std,total_token_cv_pct,top_k_mean,top_k_std,top_k_cv_pct,num_tokens_mean,num_tokens_std,num_tokens_cv_pct,num_steps_mean,num_steps_std,num_steps_cv_pct,wall_ms_mean,wall_ms_std,wall_ms_cv_pct,tok_per_sec_mean,tok_per_sec_std,tok_per_sec_cv_pct,mean_accepted_per_step_mean,mean_accepted_per_step_std,mean_accepted_per_step_cv_pct,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_cv_pct,mean_verify_ms_mean,mean_verify_ms_std,mean_verify_ms_cv_pct,verify_fraction_mean,verify_fraction_std,verify_fraction_cv_pct,n_runs
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,156,0,0.00,25,0,0.00,1902.37,0.763763,0.04,82,0,0.00,6.24,1.08779e-15,0.00,0.2013,0,0.00,53.7457,0.010116,0.02,0.7063,0.000173205,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,259,0,0.00,50,0,0.00,3744.03,1.77858,0.05,69.2,0,0.00,5.18,0,0.00,0.1671,0,0.00,53.9863,0.00986577,0.02,0.720967,0.000208167,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,261,0,0.00,64,0,0.00,4778.73,1.17189,0.02,54.6,0,0.00,4.078,0,0.00,0.1316,0,0.00,54.087,0.00781025,0.01,0.724367,0.000251661,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,80,0,0.00,20,0,0.00,1535.03,0.862168,0.06,52.1,0,0.00,4,0,0.00,0.129,0,0.00,53.5227,0.0180093,0.03,0.697367,0.000208167,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,258,0,0.00,60,0,0.00,4477.37,1.33167,0.03,57.6,0,0.00,4.3,0,0.00,0.1387,0,0.00,54.013,0.0072111,0.01,0.723833,0.000208167,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,258,0,0.00,48,0,0.00,3594.2,2.0664,0.06,71.7667,0.057735,0.08,5.375,0,0.00,0.1734,0,0.00,53.9347,0.0253246,0.05,0.7203,0.0001,0.01,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,264,0,0.00,50,0,0.00,3737.57,2.0502,0.05,70.6333,0.057735,0.08,5.28,0,0.00,0.1703,0,0.00,53.8887,0.0153731,0.03,0.7209,0.000173205,0.02,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,262,0,0.00,74,0,0.00,5503.03,3.72201,0.07,47.6,0,0.00,3.541,0,0.00,0.1142,1.69967e-17,0.00,53.9943,0.0230072,0.04,0.726067,0.000208167,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,263,0,0.00,69,0,0.00,5155,2.30651,0.04,51,0,0.00,3.812,0,0.00,0.123,0,0.00,54.1593,0.0106927,0.02,0.7249,0.0002,0.03,3
b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,260,0,0.00,49,0,0.00,3670.8,2,0.05,70.8333,0.057735,0.08,5.306,0,0.00,0.1712,0,0.00,54.0097,0.0147422,0.03,0.720933,0.000208167,0.03,3
