context_length,depth,total_token,top_k,config_label,mode,model,eagle_model,prompt,num_tokens,num_steps,wall_ms,tok_per_sec,mean_accepted_per_step,acceptance_rate,mean_verify_ms,verify_fraction
4096,20,343,20,b=20 d=20 tt=343,vanilla,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",257,151,56038.0,4.6,1.702,0.005,267.304,0.7203
4096,20,343,20,b=20 d=20 tt=343,vanilla,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,257,171,63270.5,4.1,1.503,0.0044,268.568,0.7259
4096,20,343,20,b=20 d=20 tt=343,vanilla,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,259,180,66398.5,3.9,1.439,0.0042,268.938,0.7291
4096,20,343,20,b=20 d=20 tt=343,vanilla,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,95,68,26992.6,3.5,1.397,0.0041,266.011,0.6701
4096,20,343,20,b=20 d=20 tt=343,vanilla,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,182,66891.4,3.8,1.412,0.0041,267.425,0.7276
4096,20,343,20,b=20 d=20 tt=343,ragged,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",257,151,36343.9,7.1,1.702,0.005,135.385,0.5625
4096,20,343,20,b=20 d=20 tt=343,ragged,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,257,171,40667.0,6.3,1.503,0.0044,135.533,0.5699
4096,20,343,20,b=20 d=20 tt=343,ragged,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,259,180,42658.8,6.1,1.439,0.0042,135.794,0.573
4096,20,343,20,b=20 d=20 tt=343,ragged,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,95,68,18189.7,5.2,1.397,0.0041,135.035,0.5048
4096,20,343,20,b=20 d=20 tt=343,ragged,/home/202311016/models/Meta-Llama-3.1-8B-Instruct-W4A16-g128-gptq,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,182,43111.8,6.0,1.412,0.0041,135.601,0.5724
