context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
4096,12,123,12,b=12 d=12 tt=123,16.6,1.437,0.5634,16.0,1.437,0.5827,0.9639
4096,12,165,16,b=16 d=12 tt=165,15.0,1.472,0.6098,15.9,1.47,0.5825,1.06
4096,12,206,20,b=20 d=12 tt=206,13.9,1.491,0.6365,15.8,1.493,0.5853,1.1367
4096,12,247,24,b=24 d=12 tt=247,13.3,1.505,0.6465,15.8,1.505,0.5797,1.188
4096,16,165,12,b=12 d=16 tt=165,13.6,1.442,0.5612,14.4,1.442,0.5295,1.0588
4096,16,219,16,b=16 d=16 tt=219,12.4,1.464,0.594,14.3,1.472,0.534,1.1532
4096,16,274,20,b=20 d=16 tt=274,11.4,1.492,0.6292,14.3,1.493,0.533,1.2544
4096,16,329,24,b=24 d=16 tt=329,10.7,1.506,0.6469,14.3,1.507,0.5302,1.3364
4096,20,206,12,b=12 d=20 tt=206,11.6,1.444,0.5481,12.9,1.444,0.4894,1.1121
4096,20,274,16,b=16 d=20 tt=274,10.6,1.481,0.5892,13.0,1.474,0.4906,1.2264
4096,20,343,20,b=20 d=20 tt=343,9.9,1.49,0.6134,13.1,1.497,0.49,1.3232
4096,20,411,24,b=24 d=20 tt=411,8.7,1.511,0.6571,11.8,1.51,0.5319,1.3563
4096,24,247,12,b=12 d=24 tt=247,10.4,1.444,0.5255,12.0,1.444,0.4496,1.1538
4096,24,329,16,b=16 d=24 tt=329,9.3,1.478,0.5721,12.0,1.478,0.4543,1.2903
4096,24,411,20,b=20 d=24 tt=411,8.3,1.505,0.625,10.9,1.505,0.4954,1.3133
4096,24,494,24,b=24 d=24 tt=494,7.6,1.51,0.6497,10.8,1.516,0.5032,1.4211

context_length,depth,total_token,top_k,config_label,mode,model,eagle_model,prompt,num_tokens,num_steps,wall_ms,tok_per_sec,mean_accepted_per_step,acceptance_rate,mean_verify_ms,verify_fraction
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,186,16328.9,15.7,1.382,0.0112,52.25,0.5952
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,182,16269.0,15.8,1.412,0.0115,52.602,0.5885
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,91,66,6298.4,14.4,1.379,0.0112,51.934,0.5442
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",258,168,14970.1,17.2,1.536,0.0125,52.725,0.5917
4096,12,123,12,b=12 d=12 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,175,15430.2,16.7,1.474,0.012,52.364,0.5939
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,257,186,15582.0,16.5,1.382,0.0112,48.41,0.5779
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,257,182,15622.6,16.5,1.412,0.0115,49.258,0.5738
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,91,66,6032.5,15.1,1.379,0.0112,47.728,0.5222
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",258,168,14558.8,17.7,1.536,0.0125,49.303,0.5689
4096,12,123,12,b=12 d=12 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,175,14839.3,17.4,1.474,0.012,48.703,0.5744
